400 3
7 7 7 
11 15 1
21 1 1
15 17 2
3 6 1
1 3 2
15 18 3
5 8 3
8 11 2
3 7 3
2 5 3
17 20 2
6 9 2
20 22 1
20 21 1
20 0 3
2 4 3
16 20 2
11 15 1
0 2 3
10 12 1
21 23 1
16 18 1
15 18 2
17 20 3
20 22 1
21 1 1
22 2 1
5 10 3
6 9 3
14 16 2
14 15 2
5 7 2
9 11 2
9 11 1
10 13 1
9 11 2
3 5 1
8 11 3
21 0 2
4 8 2
16 19 2
11 15 1
10 11 3
5 8 3
19 23 1
1 4 2
16 17 2
4 5 3
10 13 2
11 16 2
15 19 2
1 3 3
1 3 2
18 21 2
21 23 2
11 15 3
4 6 2
5 10 1
12 13 3
10 14 2
8 10 3
6 10 1
14 16 2
11 16 1
4 6 3
8 8 2
23 2 1
9 13 3
4 7 1
14 16 3
16 20 2
20 0 3
10 13 3
4 8 1
8 12 3
7 10 1
0 3 1
15 18 3
7 10 3
8 10 3
3 8 1
23 2 1
7 11 1
8 12 3
17 20 1
15 16 3
15 17 2
17 18 3
1 4 3
15 17 3
18 20 1
10 12 3
1 5 3
11 15 3
8 12 3
19 23 3
0 2 1
20 1 3
16 20 1
3 5 1
16 19 1
2 6 3
0 4 3
2 4 1
5 7 1
8 11 2
1 4 2
4 8 1
23 3 2
2 4 2
21 23 2
14 15 2
9 12 2
5 9 3
9 12 2
4 6 1
7 11 1
9 12 2
8 10 2
10 12 2
20 1 3
12 15 1
17 20 3
2 7 2
15 16 1
9 12 1
5 6 1
19 23 2
8 10 2
23 2 3
20 22 3
4 7 1
15 19 2
18 21 1
0 3 2
9 12 3
23 1 2
19 22 1
20 23 2
4 5 1
9 13 3
18 22 2
4 5 2
19 21 2
9 12 1
6 7 2
12 15 1
5 6 2
12 14 1
22 0 3
6 9 2
2 5 1
23 2 2
20 23 2
23 2 3
3 8 1
18 22 3
13 16 1
20 23 1
23 4 2
0 3 3
17 21 2
19 21 2
23 1 2
15 19 1
21 22 3
20 0 2
5 7 3
11 14 2
9 10 1
7 11 1
2 5 2
5 8 3
8 11 3
8 11 1
0 4 3
4 8 2
8 12 3
0 5 3
2 4 1
18 21 1
12 15 1
18 21 3
9 12 2
21 0 3
5 7 1
5 8 2
15 17 2
5 7 1
14 18 3
8 11 3
18 20 2
23 1 1
13 17 3
2 5 2
22 0 2
7 9 3
11 15 3
15 20 1
15 18 1
11 14 1
10 11 2
23 3 1
20 0 3
7 9 3
15 17 2
4 9 2
8 13 3
2 7 3
19 23 2
7 9 3
15 18 1
5 6 2
10 13 1
2 6 2
4 6 1
12 14 2
19 22 3
10 12 2
21 0 3
8 11 1
5 8 1
4 7 3
13 16 3
7 10 1
7 11 2
11 16 2
15 18 1
22 23 2
20 22 1
2 4 3
13 16 2
2 4 1
20 1 1
17 21 1
19 22 1
16 18 3
14 18 1
8 9 2
16 19 2
15 19 2
13 16 1
3 6 1
8 10 1
18 20 3
2 5 1
9 11 3
10 13 2
11 15 3
23 2 1
5 8 3
11 13 3
17 19 3
11 14 2
11 14 3
16 19 3
19 22 1
6 8 2
4 7 1
14 18 3
3 6 2
23 1 3
5 9 2
11 15 2
2 7 3
9 11 1
6 9 2
22 1 2
13 17 3
19 21 1
0 4 3
13 16 2
23 2 1
1 5 2
15 17 2
3 6 3
8 12 3
17 21 3
14 17 2
23 2 1
9 12 3
13 16 2
6 10 2
18 21 2
3 6 3
22 2 3
9 12 2
6 10 2
19 23 1
9 12 1
6 9 3
18 21 2
18 21 1
11 15 1
15 18 2
21 0 3
6 9 1
21 3 3
12 15 2
20 23 2
21 23 3
0 3 1
1 3 3
11 14 1
6 8 1
11 14 1
16 18 3
15 18 3
21 0 2
3 7 2
0 4 1
13 16 1
6 9 2
23 1 2
4 7 3
23 1 2
17 19 3
17 18 1
4 6 3
19 23 1
1 2 3
20 1 3
3 8 3
6 9 3
11 14 3
5 9 3
5 8 1
12 14 3
5 7 2
16 18 3
17 21 2
12 14 1
9 12 1
18 20 3
3 5 1
3 6 3
8 11 3
18 22 1
21 1 1
12 16 1
2 5 3
20 22 2
6 8 2
17 20 3
22 1 3
2 6 3
12 15 1
19 22 1
1 4 1
13 15 1
8 11 1
15 17 2
1 5 2
7 11 1
8 12 2
23 4 2
4 7 3
2 3 1
7 11 1
17 20 3
3 5 3
11 13 3
1 4 2
15 17 2
9 12 1
14 18 3
23 2 1
0 4 3
3 6 3
15 18 2
5 9 1
23 2 1
18 22 2
1 4 2
22 3 3
6 9 3
6 8 2
5 6 3
0 3 1
18 21 2
14 17 1
5 6 1
2 4 3
3 6 1
12 16 3
16 19 2
7 10 2
21 0 2
5 8 2
5 7 2
12 17 3
4 8 3
0 3 1
19 20 1
6 9 1
12 16 2
13 16 1
10 13 1
23 1 2
11 15 1
