100 2
10 10 
4 9 1
11 12 2
12 17 2
21 1 1
2 6 1
8 14 2
5 10 2
7 10 2
13 17 1
22 1 2
14 16 1
2 4 1
16 21 1
9 11 2
1 4 2
11 14 1
4 7 2
7 9 2
11 13 2
19 23 2
2 5 1
18 22 2
14 16 1
11 15 1
5 9 1
18 21 1
14 18 1
20 0 1
15 17 2
2 5 2
7 9 1
18 21 1
21 23 1
14 18 2
14 16 1
0 3 2
7 10 1
10 14 1
6 10 1
14 17 2
6 10 2
2 6 2
7 10 2
18 20 2
15 18 2
5 8 1
13 17 1
9 11 1
23 2 2
17 19 2
0 2 1
14 17 1
22 23 2
10 13 1
4 9 1
11 11 1
16 19 2
6 9 2
14 18 2
6 10 1
5 7 1
18 21 2
3 8 2
18 20 1
1 3 2
19 21 1
19 21 1
14 19 1
14 17 2
20 23 1
8 10 2
0 2 1
18 20 2
3 6 2
13 17 2
3 7 1
16 19 2
20 1 1
6 10 1
8 11 2
8 11 1
8 11 2
22 1 2
9 10 2
21 0 1
8 12 2
1 5 1
9 12 1
7 11 1
1 3 2
5 9 1
23 1 2
12 16 2
19 21 2
5 6 2
10 13 1
13 15 2
11 15 2
17 20 2
10 12 1
