150 2
10 8 
15 19 1
7 9 2
7 11 2
11 14 1
8 12 2
23 3 1
21 2 1
12 14 2
9 13 1
14 18 1
7 11 1
12 14 2
8 11 2
9 12 2
7 11 1
4 8 2
22 3 1
21 0 2
19 22 2
4 7 2
14 17 2
0 3 2
14 17 1
21 1 1
8 12 2
8 14 2
13 16 1
1 4 2
0 3 2
1 3 1
12 15 1
22 2 2
9 10 2
14 17 1
21 0 2
8 11 1
5 6 1
20 22 2
18 20 2
18 23 2
23 1 2
4 8 2
8 11 2
3 6 1
10 14 1
6 10 1
6 11 2
9 12 2
4 9 1
10 12 2
13 18 1
9 13 2
5 8 1
20 23 2
17 20 2
0 4 2
22 1 1
6 9 2
22 23 1
9 12 2
4 6 1
0 4 2
21 0 1
22 1 2
9 10 1
15 20 2
18 22 2
21 23 2
5 8 2
6 9 1
6 7 1
8 11 2
20 1 1
0 4 1
16 18 2
0 3 2
22 2 1
9 14 1
8 10 1
8 11 1
2 4 1
14 16 2
3 6 1
23 1 1
7 9 1
16 19 2
6 9 2
0 4 1
20 23 2
8 11 1
8 10 1
2 6 2
7 9 1
9 12 1
16 21 2
12 14 2
12 16 1
10 12 1
10 14 1
8 12 2
17 20 2
8 11 2
14 16 2
17 20 2
13 15 1
14 17 2
0 5 2
13 15 1
11 15 1
23 1 1
4 7 1
12 15 2
10 12 2
3 6 2
19 22 1
1 4 1
10 13 2
11 14 1
1 3 1
6 10 1
9 13 1
19 21 2
20 23 2
11 16 1
15 17 1
11 14 2
11 13 2
11 14 1
11 14 1
4 7 2
16 19 1
17 20 1
23 2 1
1 3 2
22 0 2
17 21 2
2 4 2
16 21 1
6 7 1
16 17 1
4 7 2
20 0 1
22 2 2
5 9 2
22 1 2
22 1 1
12 14 1
15 19 1
3 6 1
15 16 1
