100 3
3 8 4 
4 7 2
21 2 3
3 7 2
10 13 3
14 17 3
10 13 2
10 13 2
14 17 1
0 2 1
7 10 1
18 21 2
16 20 1
14 18 2
23 3 1
20 1 3
5 7 3
0 4 1
5 11 2
18 20 1
12 16 1
13 14 2
10 13 3
15 17 3
9 11 3
14 15 2
21 0 3
14 16 2
16 19 2
8 10 1
8 10 1
0 4 2
0 3 2
10 12 3
13 16 3
22 0 1
3 7 2
16 21 2
17 20 3
21 22 3
18 21 2
11 13 1
11 14 3
10 14 2
17 18 2
5 9 1
11 14 3
2 5 1
8 10 2
6 9 1
20 1 2
7 11 1
23 2 1
13 15 2
23 1 1
20 23 3
0 4 2
1 5 2
11 12 2
3 6 2
10 13 2
14 17 2
14 18 1
18 22 3
6 8 2
5 5 3
23 1 3
10 14 1
11 14 3
22 2 3
12 14 3
6 7 1
15 19 2
1 3 3
5 9 1
19 21 2
21 0 1
15 18 3
23 2 2
3 8 2
9 12 2
0 3 3
4 7 1
22 2 3
18 20 3
13 15 2
4 9 3
5 6 3
10 14 1
4 7 2
7 10 3
1 7 2
18 20 3
1 5 1
12 16 1
22 1 1
1 5 1
19 0 2
12 15 2
10 14 2
6 11 1
