300 2
6 8 
23 2 2
13 18 2
23 1 1
12 14 1
18 21 1
21 0 1
14 17 2
1 5 2
14 16 2
1 4 1
18 22 2
6 8 2
10 14 2
12 16 1
21 0 2
7 11 1
14 17 2
20 1 1
21 2 1
22 2 1
22 4 2
13 15 2
12 14 1
22 0 1
15 20 1
17 18 1
6 11 1
16 18 1
4 7 2
14 17 1
10 12 2
21 1 2
0 4 2
12 14 2
22 1 1
23 1 2
12 15 1
10 12 2
23 4 1
12 15 1
11 14 2
16 19 2
13 16 1
6 9 2
10 14 2
19 22 2
17 20 2
3 6 2
10 13 2
3 7 1
2 5 1
14 16 1
3 5 1
2 6 2
1 4 1
10 13 2
23 3 2
23 3 2
2 6 2
12 15 1
6 10 2
0 3 2
1 3 1
23 3 2
3 6 2
6 8 2
12 16 2
15 19 2
3 8 1
3 5 2
0 3 2
21 0 2
9 12 1
11 14 1
20 22 1
18 21 1
9 12 1
4 8 2
4 8 2
9 15 1
3 6 2
10 13 2
0 4 2
23 1 1
10 15 1
18 20 2
20 0 2
9 13 2
14 16 1
12 17 2
2 7 2
13 18 1
10 14 2
10 13 1
2 6 2
11 14 2
6 9 2
0 3 2
6 10 2
19 22 2
16 18 1
15 18 1
2 5 1
3 5 1
4 8 1
20 0 2
1 4 1
12 14 1
10 14 1
23 3 2
9 12 1
18 21 1
18 23 1
4 7 1
10 12 1
20 22 1
16 19 1
14 17 2
1 5 1
5 8 1
0 2 1
8 9 1
4 8 2
19 22 2
16 20 1
13 15 2
2 4 1
11 15 1
3 5 1
3 6 2
5 9 2
12 16 1
11 14 2
17 19 2
7 11 1
19 21 2
8 12 2
5 8 1
15 19 1
9 11 2
10 12 2
1 3 1
2 5 2
6 9 2
16 19 1
19 23 2
20 22 2
10 12 1
15 17 2
0 3 1
2 6 1
18 20 1
21 1 1
20 22 2
0 2 1
15 18 2
2 5 1
2 6 1
22 0 2
8 11 1
23 3 1
8 12 2
0 3 1
14 17 2
15 18 1
23 2 1
12 17 2
21 0 1
19 22 1
19 23 1
6 10 2
22 0 1
7 10 2
11 13 2
21 1 1
8 10 2
13 16 2
9 11 1
22 1 2
17 21 1
14 17 2
13 16 2
21 1 2
15 19 2
15 19 2
20 23 2
8 12 2
14 17 1
4 9 1
22 2 2
2 5 1
2 5 2
2 4 1
10 12 1
17 20 1
13 16 2
2 4 2
8 10 1
16 19 2
22 2 2
7 11 2
21 0 1
12 13 2
10 13 2
14 18 1
7 10 2
5 8 1
12 17 1
7 11 1
6 9 1
3 6 1
4 7 1
16 19 2
8 11 1
20 23 2
4 7 2
15 18 2
14 18 2
15 16 1
2 6 2
10 12 1
1 3 1
11 14 2
15 17 2
9 13 1
3 6 2
5 8 1
2 5 2
11 13 1
21 2 1
6 8 1
14 17 2
11 13 1
12 16 1
18 19 2
1 5 2
18 20 2
14 17 1
10 13 1
23 1 1
20 23 1
13 16 2
23 2 2
11 17 1
17 19 1
17 21 1
15 17 2
13 17 2
2 5 2
4 6 2
20 22 2
0 1 1
22 1 1
19 22 1
20 23 1
6 9 1
21 0 1
16 20 1
2 5 1
1 5 1
12 16 2
13 14 1
16 18 2
23 2 2
21 1 1
2 4 1
10 14 2
15 19 1
13 16 2
20 22 1
12 12 1
12 13 1
15 17 1
16 19 1
7 11 1
20 23 2
20 22 2
5 8 2
1 4 2
14 18 1
6 8 2
16 19 1
6 7 2
1 4 1
9 13 2
0 3 2
17 19 1
14 19 2
13 15 1
2 3 1
19 22 1
20 22 2
20 0 1
8 11 2
16 20 2
20 1 2
1 5 2
19 22 2
21 0 1
22 1 1
