600 3
3 2 3 
21 1 3
12 15 2
6 9 3
12 17 1
0 3 2
0 2 1
23 1 1
23 2 3
13 17 1
21 2 3
19 21 2
20 23 3
19 21 2
13 14 1
10 14 3
3 5 1
0 4 1
19 21 3
17 22 1
7 10 3
15 16 2
12 14 2
22 1 2
22 1 1
19 20 2
19 22 2
9 12 3
10 14 3
13 17 3
13 17 1
16 18 3
17 20 3
14 17 2
9 12 1
8 10 2
13 15 3
3 6 1
21 2 2
3 7 3
21 23 1
11 14 2
21 23 3
19 23 3
4 8 1
6 9 1
17 19 1
17 19 1
16 19 3
9 12 2
14 17 2
12 15 1
6 9 3
9 12 2
22 2 3
8 10 1
22 2 1
19 22 3
16 16 1
23 1 1
17 19 3
14 18 2
20 23 3
9 11 2
16 20 1
21 0 3
22 1 2
20 0 1
10 12 2
2 5 3
19 21 3
13 16 2
22 1 1
7 9 1
1 3 2
8 11 2
17 20 1
20 21 3
4 8 1
13 17 2
23 2 1
21 23 1
4 8 3
15 17 1
7 8 1
3 7 2
16 21 1
9 14 1
14 17 2
17 20 2
2 6 1
6 8 1
13 15 2
22 0 3
19 21 1
9 12 2
1 4 3
5 9 2
21 0 3
14 17 1
6 10 3
13 14 1
18 21 2
4 6 3
16 19 2
12 14 2
17 20 2
6 9 1
16 19 3
0 4 3
15 17 2
11 15 2
12 14 2
23 2 1
23 0 1
0 4 3
2 5 2
8 10 1
18 22 1
5 9 1
15 18 3
0 3 2
11 14 3
9 11 3
23 2 2
19 21 2
12 14 1
17 20 3
21 0 2
19 23 3
12 15 1
10 12 1
23 3 2
7 11 2
19 22 3
16 18 3
2 4 2
4 9 1
7 11 1
2 3 3
8 11 2
20 22 1
11 15 1
22 3 3
7 11 3
2 5 1
13 16 2
2 4 2
2 6 3
13 15 1
3 5 3
8 12 3
23 2 1
4 7 1
19 21 1
17 21 3
8 12 2
3 5 2
16 17 2
22 1 2
6 8 1
4 7 3
3 7 1
13 14 3
14 16 2
19 23 3
9 11 1
9 12 1
5 11 3
16 18 2
19 22 1
12 15 1
8 12 1
19 22 2
16 19 3
0 3 3
23 2 2
12 16 3
22 1 1
0 2 3
1 4 3
3 6 1
10 12 3
7 8 3
1 4 1
14 15 3
5 8 2
17 21 1
19 0 1
5 9 2
4 9 2
12 15 1
0 3 3
8 10 1
10 14 2
13 16 2
0 0 1
8 9 1
12 14 2
17 18 2
17 20 2
11 13 3
20 22 3
1 4 1
14 18 1
22 3 3
2 5 1
3 7 2
18 23 1
3 5 2
12 14 3
11 15 3
21 0 1
10 13 1
0 4 2
8 10 3
16 18 3
5 6 2
14 16 3
14 17 2
1 5 2
8 13 1
23 3 2
23 2 3
18 21 2
20 23 3
17 20 3
4 7 1
3 6 1
2 3 3
10 13 1
22 0 3
7 9 2
11 15 3
9 12 1
11 15 3
22 0 3
19 22 3
21 0 1
0 4 2
3 4 3
22 0 1
1 4 2
17 21 1
10 12 2
11 14 1
5 8 2
2 5 3
1 3 1
8 10 1
20 0 2
8 11 1
12 14 1
5 7 2
21 0 3
8 12 1
21 23 2
23 2 3
13 14 2
18 22 1
23 2 2
19 20 2
9 13 1
19 20 3
17 19 3
6 10 2
17 20 2
0 2 1
4 9 2
5 9 2
5 8 1
1 5 1
8 12 3
12 15 1
21 23 3
9 13 1
8 10 1
12 15 1
21 23 1
10 12 2
9 13 2
5 9 3
6 10 1
4 7 2
20 23 3
1 5 3
3 5 2
22 1 2
1 4 1
2 6 3
22 2 3
22 0 3
13 16 3
12 15 2
4 7 1
7 10 3
23 2 3
14 18 1
8 10 3
6 8 3
20 0 3
10 14 1
0 4 2
7 10 1
