250 3
5 7 3 
1 4 2
2 4 3
1 3 1
1 4 2
8 10 3
21 0 3
14 18 3
18 21 3
20 22 1
0 3 2
2 3 2
7 9 1
0 2 2
5 6 3
18 20 1
0 1 3
16 18 1
0 3 2
3 6 2
20 22 1
14 16 2
22 1 2
6 9 1
2 5 1
8 10 3
1 4 3
3 6 3
13 17 1
20 22 2
12 17 1
10 15 1
2 5 3
18 21 3
1 5 2
6 8 3
23 2 3
5 7 2
6 11 1
23 2 1
16 21 1
21 1 3
11 13 2
16 20 2
1 5 2
0 4 3
15 19 3
3 7 2
11 14 1
10 14 1
8 11 1
2 5 2
10 13 1
18 21 1
13 17 3
3 8 2
0 3 1
9 13 2
11 15 1
13 16 2
3 7 1
14 18 3
11 13 1
5 9 3
1 5 2
23 2 2
3 6 3
12 17 2
2 4 1
1 4 3
8 11 1
14 16 3
19 21 1
23 1 3
10 13 1
19 21 1
1 2 2
1 6 2
11 14 1
10 13 2
8 13 3
2 6 1
4 8 3
22 0 3
15 18 1
8 10 1
2 5 2
4 5 1
9 11 1
2 3 3
11 14 2
0 4 2
23 1 1
16 18 2
21 23 2
19 23 1
6 10 1
7 10 2
14 17 1
1 5 1
23 3 2
8 11 3
1 5 2
15 18 1
9 11 3
23 1 3
16 19 3
12 14 1
13 15 1
7 9 2
11 13 2
22 2 1
8 12 1
16 18 2
3 6 3
6 9 2
14 18 1
18 19 2
14 17 3
13 18 2
8 12 2
1 3 3
6 10 1
21 23 1
3 6 1
4 8 1
2 4 3
7 11 2
10 12 3
10 14 1
9 13 2
11 14 2
17 21 3
3 6 3
14 16 3
1 4 1
2 3 1
10 15 1
17 22 3
13 17 2
4 6 3
21 23 3
5 10 2
23 3 2
8 12 1
6 8 3
21 22 1
23 2 2
20 23 3
10 12 2
7 10 3
14 17 1
5 8 1
9 12 2
6 9 1
12 15 2
14 17 2
8 11 1
16 21 1
11 14 2
7 12 1
18 21 3
22 1 2
21 2 2
19 22 3
0 1 3
3 6 2
22 0 1
15 17 2
18 21 2
16 18 1
5 9 3
22 2 1
4 7 1
8 10 1
8 11 2
22 1 1
22 0 1
19 23 1
20 23 2
19 22 2
18 21 3
22 2 3
0 3 3
11 15 3
13 15 2
22 3 2
1 2 3
13 17 2
19 19 1
12 16 1
6 10 1
8 11 3
17 20 3
14 18 1
19 23 1
7 11 2
8 11 2
20 0 1
10 13 2
14 17 1
18 21 3
9 14 2
1 5 1
2 7 2
12 16 2
22 0 1
4 8 3
19 23 1
9 10 2
14 17 3
23 2 2
20 23 2
21 3 2
21 0 3
19 23 3
2 4 1
21 23 3
15 18 3
10 13 3
13 17 3
18 22 2
16 19 3
6 9 2
17 20 1
7 10 1
4 7 2
16 21 1
5 8 1
9 13 3
18 20 3
1 4 3
15 17 1
0 3 2
21 0 3
21 23 1
3 7 2
5 9 1
11 15 2
2 6 2
17 20 3
8 12 2
20 1 3
22 0 3
22 0 2
10 13 2
16 20 3
8 11 1
9 13 1
10 15 1
18 22 1
