700 3
9 4 3 
12 14 3
12 16 3
14 16 3
0 3 1
17 19 3
1 3 3
8 11 2
18 20 2
1 4 3
5 9 1
9 12 1
12 16 3
12 14 3
20 21 1
12 17 3
8 10 2
5 7 3
18 23 2
5 9 1
9 13 3
19 23 3
14 16 3
0 4 2
5 8 3
6 10 2
5 8 3
0 3 3
23 2 3
9 12 1
19 23 3
4 9 3
11 14 2
8 11 2
18 21 3
7 9 1
19 22 3
15 17 3
11 14 1
22 1 3
19 22 3
4 7 3
14 17 2
21 1 1
22 1 2
13 17 1
1 4 3
15 18 3
19 23 3
23 2 1
18 22 3
20 23 2
4 7 3
20 23 3
22 0 2
10 13 3
15 18 1
9 12 2
19 23 2
1 6 1
17 19 1
6 10 2
6 10 3
9 11 1
11 14 3
12 15 1
9 12 3
14 16 1
15 18 2
9 11 3
18 20 3
18 20 2
10 12 2
13 15 1
14 15 1
7 10 2
23 4 2
18 20 2
7 9 2
13 16 2
13 15 3
4 7 1
2 6 3
14 18 2
4 5 3
1 3 1
9 11 2
1 3 2
21 23 3
3 6 3
5 7 1
5 7 1
15 17 3
4 6 3
17 19 3
1 4 2
20 23 2
14 17 3
23 0 3
2 4 2
5 7 2
11 12 2
12 15 1
3 7 2
23 2 1
23 1 3
8 10 3
15 18 2
4 7 2
10 13 3
17 19 2
19 23 3
20 23 2
11 15 2
3 5 3
23 2 2
19 22 1
8 11 1
13 15 2
21 23 3
21 1 1
21 0 1
5 9 1
8 11 1
7 10 3
14 18 3
19 23 2
4 5 2
23 3 3
12 15 2
7 11 3
9 12 2
2 5 3
8 12 3
20 0 2
0 4 3
5 9 1
23 1 3
8 10 3
7 9 3
12 17 3
8 11 3
22 0 1
13 15 3
15 17 1
18 21 3
5 7 1
13 16 2
21 23 2
16 20 3
4 8 2
8 11 2
4 7 3
1 4 3
21 1 1
13 17 3
16 20 1
9 12 1
16 19 1
2 5 3
0 3 2
12 14 3
12 16 3
16 19 1
11 13 1
2 6 2
6 8 3
6 7 2
16 19 3
9 13 2
18 22 1
9 12 1
3 5 3
12 17 3
15 19 3
14 17 1
2 5 3
7 9 2
6 9 2
20 23 3
5 8 2
18 19 1
15 17 2
14 16 2
8 10 2
10 13 1
19 21 3
10 13 1
10 12 3
14 17 3
21 1 1
19 20 3
4 7 2
3 7 1
13 16 1
15 18 2
11 15 3
21 0 2
16 20 2
12 15 3
17 22 1
7 11 1
1 4 2
9 11 1
15 17 1
0 3 2
22 0 3
8 10 2
15 17 1
15 18 2
17 21 3
10 13 1
3 5 3
17 21 3
18 21 3
10 13 3
16 19 1
10 12 3
10 13 1
13 15 2
19 23 2
4 7 3
1 5 3
18 0 2
14 16 2
3 7 3
21 0 1
21 0 2
1 3 3
4 5 1
14 18 1
19 23 2
4 8 2
1 2 3
3 5 3
5 6 1
14 19 1
19 22 1
2 4 2
5 8 2
20 21 2
1 3 2
6 9 2
10 14 2
21 23 2
16 19 1
22 1 2
11 13 3
2 5 3
15 19 2
23 2 3
15 17 2
7 10 1
18 20 3
9 12 2
12 14 2
5 9 3
16 19 2
14 17 3
7 10 2
17 19 1
3 5 3
17 20 3
18 20 1
21 0 2
8 12 3
8 10 1
14 16 3
20 22 3
6 9 2
20 20 3
10 12 3
8 12 2
0 4 3
7 10 2
7 9 3
10 13 1
21 2 1
