150 3
6 9 1 
18 20 3
22 1 1
20 23 1
13 16 1
14 18 3
18 22 1
8 9 1
21 23 1
9 11 2
1 5 1
20 23 1
22 1 3
17 19 3
4 7 1
13 14 2
22 2 1
5 7 2
2 4 2
19 22 3
21 1 2
16 20 2
1 4 2
19 21 1
5 8 3
0 3 2
9 13 3
17 20 3
14 17 1
1 3 3
21 23 1
5 8 1
2 3 3
20 22 1
7 10 3
1 4 2
15 18 3
1 5 1
11 13 3
11 15 2
8 12 3
20 22 2
23 3 1
17 20 2
8 11 1
23 1 2
13 15 2
7 11 2
4 7 1
20 0 1
11 15 3
13 16 3
13 16 3
7 11 3
3 6 1
21 23 1
6 8 3
23 2 2
9 11 1
2 5 3
15 18 2
0 4 1
9 14 3
10 13 3
18 22 1
11 12 1
1 5 3
20 21 2
10 12 3
15 18 1
6 10 2
9 13 3
14 16 3
4 7 1
22 0 3
20 22 3
20 0 2
0 3 1
3 6 2
0 3 1
22 2 1
16 18 3
3 8 2
7 10 1
17 20 3
9 13 3
3 7 1
4 7 2
18 20 2
18 22 2
3 6 1
21 1 1
18 20 1
9 12 1
22 2 1
9 13 1
9 12 3
19 22 2
14 16 1
3 5 1
16 18 3
5 8 3
13 16 2
1 3 3
14 19 2
12 16 3
8 11 1
3 6 2
20 22 2
1 4 2
5 9 2
23 2 1
14 18 3
8 13 2
9 12 2
6 9 1
2 6 3
23 3 3
21 1 3
9 12 2
1 4 1
11 14 2
1 5 1
10 12 2
17 21 1
20 0 1
2 5 1
9 13 1
23 1 1
17 21 3
16 19 3
13 16 2
0 3 2
4 7 1
18 21 2
10 14 3
15 18 1
0 3 1
11 15 1
1 4 2
5 8 2
12 14 2
22 1 3
11 13 1
2 6 3
6 8 1
19 21 1
1 4 2
0 3 3
16 19 2
5 7 3
