600 2
7 6 
12 16 2
1 3 1
18 21 2
8 11 1
16 19 2
0 4 2
4 9 1
4 8 1
16 19 1
19 23 2
17 19 2
23 4 2
17 19 2
0 2 1
14 17 2
17 21 2
10 14 1
11 15 2
2 6 2
22 1 1
11 13 2
0 4 1
7 10 1
6 9 1
11 14 2
9 12 1
3 6 1
18 21 1
8 10 2
9 11 2
1 4 1
16 21 2
10 13 1
23 2 2
8 12 2
11 13 2
22 23 2
7 11 1
15 17 1
9 12 2
17 21 1
2 5 1
8 10 2
12 13 1
16 19 2
11 12 2
0 3 2
16 19 1
12 15 2
17 20 2
19 22 1
9 11 2
0 4 1
0 3 1
6 9 1
2 5 1
23 1 2
21 1 1
5 7 2
4 8 1
4 6 1
22 0 2
17 21 2
10 12 2
1 3 2
20 22 1
18 21 2
11 15 1
12 14 1
19 23 1
7 10 1
16 19 1
3 5 1
17 19 2
14 18 1
17 20 2
10 15 2
13 16 2
12 15 1
17 20 1
22 23 1
9 12 1
8 13 1
22 2 1
3 8 2
23 2 2
20 23 2
23 2 1
0 4 1
5 7 1
21 23 1
8 11 1
16 18 1
3 5 1
1 5 2
17 21 2
14 16 2
3 7 1
8 11 2
6 9 1
17 20 2
19 22 1
18 21 1
16 18 2
13 16 2
22 1 2
2 4 2
2 4 2
9 11 2
20 23 1
7 10 2
20 0 2
7 9 1
19 23 1
6 8 1
18 20 1
17 20 1
2 5 2
7 12 2
18 22 1
16 18 1
9 12 1
21 23 2
6 7 1
12 15 2
21 0 2
4 6 1
23 1 1
11 15 1
10 14 2
3 7 1
1 4 2
0 5 1
9 11 1
4 8 2
19 21 2
5 8 1
21 0 2
0 3 1
12 14 1
0 3 2
12 14 1
20 0 1
11 14 2
1 5 1
7 11 2
10 13 1
17 19 1
21 1 2
11 14 1
5 8 1
13 16 1
16 20 1
11 14 2
19 21 2
21 0 1
11 16 1
4 8 1
10 14 2
5 10 1
18 21 2
8 11 1
10 12 2
7 11 2
10 14 2
15 16 2
17 20 2
23 0 2
23 2 2
14 17 2
20 22 2
20 23 1
20 23 1
11 14 2
11 11 1
12 14 2
12 16 1
22 2 2
2 4 2
13 16 1
15 20 1
10 13 2
14 16 2
3 6 1
3 5 1
21 0 1
19 20 2
3 7 2
3 5 2
8 10 1
22 1 1
5 6 1
13 17 1
0 4 1
8 11 2
7 12 1
14 16 2
21 2 1
21 23 1
16 19 2
10 13 2
16 18 2
18 21 2
22 3 1
21 0 1
2 2 1
15 18 1
