800 2
8 6 
4 8 2
11 12 1
14 16 1
9 13 1
1 4 1
14 17 1
21 0 2
21 22 1
13 15 2
7 8 2
9 9 1
1 4 2
23 3 2
18 21 1
3 5 1
22 1 1
20 22 1
19 21 1
10 13 2
11 13 2
8 11 1
7 10 2
7 11 2
4 6 1
20 0 2
23 1 1
2 4 2
10 12 2
15 18 1
5 9 1
20 22 2
10 13 1
4 7 2
10 13 2
9 10 1
6 9 2
7 9 1
6 9 2
2 5 1
10 14 2
21 1 2
22 1 2
22 1 1
23 1 1
7 11 2
23 2 2
6 8 1
22 2 1
19 22 1
7 11 2
1 3 2
20 1 1
23 2 1
0 2 2
20 0 2
1 3 1
15 19 1
21 1 1
14 17 2
20 23 2
3 5 2
0 4 2
7 10 2
4 8 2
7 11 2
10 12 2
16 19 1
19 23 1
12 15 2
9 11 1
0 2 1
9 13 1
16 20 1
15 18 1
13 16 1
19 0 1
13 17 2
8 11 2
11 14 2
23 1 2
0 3 2
6 9 2
19 22 2
5 8 1
6 8 1
13 14 2
15 17 2
20 21 1
17 20 1
3 6 1
6 8 1
10 13 1
15 18 2
22 1 2
6 8 1
11 13 2
2 6 1
15 17 2
3 5 1
15 17 1
22 0 1
23 3 2
0 5 2
8 12 1
15 17 2
18 22 1
8 10 2
19 21 1
0 3 1
20 0 1
20 22 1
14 16 2
2 5 1
3 6 2
18 20 2
16 19 1
17 19 2
15 20 1
14 18 2
11 15 2
9 11 2
9 10 2
23 2 1
21 0 1
9 11 2
11 14 1
9 11 2
19 22 1
21 1 1
23 3 2
16 21 2
15 18 2
23 1 1
23 1 1
12 16 2
12 15 1
12 14 1
4 7 1
5 7 2
4 6 2
15 18 2
9 12 2
6 10 1
19 23 2
18 21 1
10 14 1
22 1 2
21 0 2
2 5 1
15 19 2
6 9 1
7 10 2
20 23 2
7 12 2
0 5 1
18 18 1
15 18 2
1 4 2
8 11 1
16 20 1
1 3 1
5 8 2
22 23 2
1 5 2
18 20 2
20 22 2
17 20 1
4 7 2
9 13 1
3 7 1
7 10 2
3 6 1
17 21 1
6 9 1
16 20 1
11 15 1
3 5 1
0 2 2
1 5 1
13 17 2
9 13 1
16 21 1
21 2 2
2 6 2
14 16 2
23 3 1
8 10 2
8 12 2
16 18 1
20 21 2
11 14 1
14 17 1
9 12 2
20 23 2
17 20 1
19 21 2
11 14 2
22 2 2
9 10 1
4 7 2
14 17 2
20 22 1
23 2 2
21 23 2
1 6 1
22 2 1
22 2 1
2 4 2
1 5 2
18 21 1
9 11 2
13 15 2
19 22 2
20 22 1
19 22 1
22 1 1
11 13 1
9 13 2
19 22 2
13 16 1
22 0 2
22 0 1
13 13 1
18 20 2
10 14 2
17 21 2
15 19 2
15 18 2
9 10 1
4 8 2
6 11 1
4 6 2
4 7 1
2 4 1
5 8 1
13 16 2
10 14 1
4 7 2
14 16 2
11 14 1
14 17 1
17 19 2
0 2 2
0 3 2
20 22 2
18 20 1
21 23 2
13 16 2
15 17 2
15 19 1
8 10 1
3 6 2
17 20 1
14 18 2
3 6 2
1 5 2
0 4 2
5 7 2
0 4 2
14 16 1
7 10 2
21 22 1
0 3 2
14 17 1
6 11 1
23 3 2
11 13 1
14 17 1
1 5 1
4 8 2
10 13 1
3 6 1
23 2 2
21 23 1
1 4 2
2 6 2
2 5 1
13 16 2
13 14 1
2 6 2
19 23 1
10 11 1
0 3 2
18 19 2
9 11 1
17 20 2
8 10 1
16 21 2
11 14 1
9 14 1
12 16 2
13 17 2
20 23 2
6 9 2
12 14 1
22 0 1
20 0 1
18 19 1
7 10 2
4 6 2
18 22 2
18 21 1
6 9 1
19 23 2
21 2 1
19 21 2
21 0 1
6 9 1
1 3 1
9 11 2
17 19 1
3 7 1
21 23 1
16 21 1
19 22 2
2 5 2
17 20 1
10 12 1
17 20 2
8 11 1
19 21 1
5 8 1
5 8 1
9 12 2
1 4 2
23 2 2
7 11 1
14 17 2
9 12 1
9 11 1
11 13 1
18 20 1
22 1 1
7 9 2
13 18 2
9 11 2
7 10 2
2 6 2
10 13 2
16 18 1
9 10 2
23 3 2
22 2 1
12 15 2
16 18 2
5 8 2
7 11 2
7 8 2
3 6 1
18 19 1
14 16 1
2 6 1
3 6 2
20 22 1
12 14 1
8 11 2
8 10 2
17 20 2
10 11 2
9 10 1
18 21 1
4 8 2
16 19 2
20 21 2
4 6 2
10 12 1
0 3 2
19 22 2
6 7 2
15 19 2
14 18 1
1 3 1
23 3 2
8 11 1
13 16 2
18 21 1
21 0 2
1 4 1
21 1 1
4 7 1
17 22 1
12 16 1
17 20 1
17 20 2
8 12 1
7 9 1
8 9 2
8 12 1
4 8 1
11 12 1
2 5 1
1 3 1
10 14 2
19 22 2
13 17 2
0 1 1
1 4 1
13 17 2
14 17 2
14 17 1
12 17 2
9 12 1
2 5 1
5 9 1
13 17 1
10 13 1
23 2 2
5 8 2
22 1 2
1 3 2
4 6 1
3 6 2
15 17 2
22 2 2
2 6 2
22 1 1
10 12 2
18 23 1
11 13 1
5 7 2
1 4 1
10 14 1
11 14 2
3 6 1
18 19 1
19 23 2
20 0 2
19 22 2
10 14 2
13 16 1
10 11 2
16 19 1
0 4 2
16 19 1
4 6 1
17 21 2
21 0 1
13 19 2
3 4 1
2 5 2
14 18 1
7 11 2
23 2 2
8 11 1
11 12 1
15 18 1
23 2 2
15 16 2
12 16 2
3 6 2
1 2 1
0 2 1
8 11 1
22 1 2
2 6 1
6 8 1
13 16 1
16 19 1
16 21 2
1 4 2
9 12 1
23 2 2
7 11 1
9 11 2
14 15 2
23 3 1
7 10 1
15 16 2
5 9 2
14 15 2
18 21 1
2 4 1
9 13 1
13 15 2
18 19 2
6 8 2
14 16 1
19 23 2
10 13 1
6 11 2
1 3 2
23 2 1
2 4 1
16 18 1
3 7 1
1 6 2
5 7 1
13 16 1
8 13 2
12 16 1
23 3 1
