850 3
3 7 10 
11 13 1
10 12 2
3 7 3
3 6 3
9 13 3
13 15 3
17 21 2
13 15 2
8 11 3
16 17 3
5 8 1
14 19 1
15 17 2
11 13 2
12 16 3
17 18 2
12 16 3
9 13 2
17 22 2
4 5 3
14 18 1
20 23 1
12 16 3
23 2 2
8 10 1
18 22 2
23 2 1
21 23 2
9 11 2
0 1 2
12 15 2
15 17 1
0 2 1
14 16 3
12 13 3
13 17 2
20 23 2
17 19 3
16 20 2
7 10 3
5 8 3
19 22 2
2 5 1
5 9 2
19 23 2
23 3 1
6 9 2
7 11 2
11 14 1
9 13 1
16 18 3
0 3 1
11 15 3
19 23 2
7 9 2
7 8 2
10 13 3
13 16 2
15 19 1
21 0 3
20 0 2
2 4 2
21 23 1
0 4 1
11 15 2
18 21 3
17 22 1
4 6 3
3 8 2
17 20 1
0 1 2
11 14 1
7 9 1
19 20 1
17 20 3
14 16 3
1 4 2
4 7 2
15 17 2
3 5 3
20 22 2
17 21 1
1 4 1
5 9 3
18 21 1
3 7 3
9 12 1
7 11 3
6 9 2
17 20 1
14 16 3
12 16 1
22 2 1
6 8 2
13 16 2
18 22 2
9 11 2
22 1 3
13 17 2
6 8 1
2 5 1
4 8 1
21 23 1
3 6 3
0 4 3
8 13 2
1 1 3
21 23 1
22 1 1
12 16 2
0 2 3
17 20 3
15 18 3
15 17 3
6 9 3
15 19 2
8 12 2
23 1 2
23 3 2
23 3 3
2 5 3
23 3 2
3 4 2
2 5 2
19 21 3
14 15 3
9 13 1
9 12 2
4 7 1
7 10 1
13 15 1
8 12 3
18 20 1
2 5 1
0 2 3
20 23 3
2 5 1
2 6 3
22 1 3
15 19 3
18 21 1
8 11 3
15 18 3
12 15 1
23 4 3
8 12 2
21 1 3
20 0 2
20 0 1
1 4 2
2 5 2
5 9 2
4 8 3
13 17 3
5 7 3
14 18 2
22 2 1
6 12 1
16 20 2
23 1 1
5 7 2
3 7 3
23 23 1
23 3 2
6 11 3
0 3 1
7 10 3
21 0 2
12 15 3
1 3 3
14 16 3
4 6 3
0 1 3
11 15 2
11 14 3
19 22 3
22 0 2
7 8 2
9 12 1
7 12 3
19 22 1
2 5 3
22 1 3
0 2 3
14 17 1
21 22 2
5 8 2
15 18 2
3 5 3
11 14 2
14 17 2
18 22 1
18 0 1
3 6 1
19 21 2
5 6 3
23 2 3
23 3 2
23 2 1
20 0 3
15 17 2
0 2 1
22 1 2
11 17 2
19 21 1
4 8 3
17 19 1
5 8 1
8 12 2
0 2 3
22 0 1
4 6 3
9 13 2
11 14 3
23 2 3
22 1 1
7 11 1
21 0 2
6 8 1
10 13 3
18 21 2
18 20 3
7 9 3
11 17 1
22 1 1
0 1 2
15 17 3
15 18 3
2 6 2
3 5 3
18 21 1
16 19 3
19 22 1
2 5 3
17 21 2
19 20 3
7 11 3
13 16 1
14 17 1
14 17 1
20 0 1
13 16 2
1 3 3
3 7 1
20 0 1
3 7 2
1 4 2
15 18 1
20 0 1
9 13 2
12 17 2
6 9 2
20 23 1
9 13 2
19 23 2
0 3 3
18 19 3
10 13 3
5 7 1
9 14 3
3 5 2
0 3 3
2 5 2
0 3 2
12 14 1
17 19 3
4 8 2
9 11 2
23 0 3
20 22 3
18 22 2
14 16 3
5 8 2
12 18 2
7 9 2
13 16 2
3 6 2
7 9 1
3 7 2
6 8 3
22 2 3
23 0 3
9 13 3
3 5 1
10 13 3
0 2 1
17 21 3
6 8 3
2 3 3
11 13 1
4 8 3
12 16 2
8 11 3
12 15 2
13 16 2
23 2 1
4 5 3
8 10 2
15 16 2
13 16 2
3 5 1
16 20 2
19 22 1
19 22 2
4 7 2
10 13 2
10 13 2
9 11 2
15 18 2
16 19 3
6 10 2
15 17 2
9 13 3
15 19 3
12 14 3
17 19 1
4 8 2
10 14 3
19 23 2
5 7 3
17 20 1
19 23 2
19 22 2
14 16 2
1 5 3
3 5 1
17 19 3
16 20 3
10 13 1
0 4 2
3 5 3
20 23 3
17 20 3
8 11 3
14 15 3
13 17 2
22 0 3
23 2 3
11 14 1
23 1 2
20 23 2
2 6 3
7 11 2
9 12 3
2 8 1
10 15 2
10 12 3
0 3 3
23 1 1
21 0 3
11 13 2
1 3 3
3 6 1
20 21 2
19 22 2
9 11 3
5 8 1
23 2 2
1 4 3
21 2 3
10 14 3
6 8 1
12 16 3
19 22 3
22 1 1
2 6 3
22 2 1
6 10 3
20 23 3
0 2 3
12 16 1
20 23 1
17 20 1
23 2 2
19 0 3
16 19 3
19 22 2
21 0 3
17 21 2
8 10 1
8 11 2
1 4 1
19 22 1
14 17 1
2 6 1
7 9 2
15 18 3
22 1 2
13 17 1
15 18 2
22 0 2
5 7 1
7 11 2
0 4 3
0 2 1
23 2 2
12 13 1
5 7 3
21 0 3
19 21 1
4 7 3
12 16 1
19 22 3
9 11 2
8 10 1
17 18 3
1 4 2
8 11 3
21 1 3
7 10 2
8 11 2
20 23 2
5 8 2
1 3 2
5 7 3
14 18 2
10 15 2
15 18 3
0 2 1
23 1 1
6 9 2
12 16 1
6 8 2
14 16 3
21 23 2
18 21 1
18 21 1
21 1 1
22 1 1
22 1 3
18 21 1
16 18 3
12 14 2
23 2 2
6 10 3
11 13 3
23 1 3
20 0 2
3 8 2
12 14 2
9 12 2
1 3 3
4 8 2
5 9 3
20 0 3
9 12 1
0 0 1
2 4 1
3 7 2
12 15 3
16 19 1
21 23 3
10 13 1
9 11 3
23 1 1
20 0 3
19 21 1
9 12 1
10 11 2
12 15 2
19 21 3
15 19 2
20 22 2
20 0 1
9 13 2
14 15 2
17 20 2
18 22 1
6 9 3
16 19 1
23 3 3
15 17 1
18 22 1
0 4 2
10 14 3
6 9 1
3 4 2
22 3 1
15 20 1
7 10 2
8 9 1
8 13 1
4 9 1
9 12 2
20 1 1
21 1 2
11 14 2
11 14 3
11 13 2
18 22 3
10 14 1
15 17 3
13 16 3
15 17 1
4 8 1
0 3 2
15 18 2
12 14 2
16 20 2
10 14 1
0 2 3
0 3 1
19 23 1
18 20 1
18 19 2
8 11 2
13 15 3
6 9 1
5 6 3
6 9 1
10 14 3
18 21 3
22 0 2
5 6 1
14 18 1
15 18 2
18 21 1
20 0 2
0 2 3
4 7 3
17 20 1
4 7 1
2 4 3
18 21 3
19 22 3
5 8 1
20 23 3
1 4 1
16 18 1
0 4 2
8 11 2
4 6 3
11 15 1
9 11 1
5 8 3
11 16 2
9 12 1
0 3 3
23 2 2
14 19 1
8 10 2
10 11 1
7 12 2
4 7 1
2 6 3
6 8 1
12 14 3
12 15 2
7 10 2
16 18 1
6 8 2
14 17 3
6 7 2
16 21 3
0 3 1
0 4 3
2 6 2
9 14 3
15 18 3
21 0 2
22 2 1
20 23 2
9 12 2
8 12 3
19 22 3
13 14 2
23 4 2
21 1 2
2 6 3
5 10 1
17 21 3
16 18 1
9 12 1
17 20 3
14 16 2
11 14 2
23 2 2
17 22 3
8 12 1
