400 2
6 4 
18 22 1
23 2 2
20 23 1
11 13 1
11 14 1
18 21 1
22 2 2
14 15 2
19 22 2
22 0 2
10 13 2
1 5 2
22 2 1
12 15 2
2 4 1
1 3 2
20 22 2
10 12 1
9 12 1
17 19 1
19 22 1
12 15 1
18 20 1
4 6 2
6 11 1
10 13 2
10 14 2
15 17 1
10 11 2
14 17 2
12 13 2
10 14 1
21 0 1
20 23 1
2 5 2
18 21 1
8 9 2
4 8 1
9 12 1
7 9 1
16 20 1
10 14 2
8 11 1
11 14 1
21 22 1
4 8 1
11 14 2
2 4 2
2 5 2
13 15 2
21 0 2
4 6 1
23 2 2
0 5 2
21 22 2
18 20 2
15 19 1
15 18 2
11 14 2
19 22 1
23 2 2
13 16 2
12 15 1
4 7 1
2 5 2
0 2 2
0 3 1
7 10 1
12 14 1
12 14 2
0 2 1
7 10 1
8 11 2
21 0 1
9 12 1
22 1 1
3 6 1
21 1 2
8 12 1
18 21 2
11 14 2
19 21 1
10 12 1
7 12 1
10 14 2
17 21 2
2 6 2
12 14 1
11 14 1
18 21 1
22 0 2
23 1 2
2 6 1
9 12 1
20 23 1
10 11 2
23 2 2
10 13 1
5 6 2
4 6 2
3 8 1
16 19 1
19 23 1
7 10 1
7 12 1
13 17 1
0 3 1
13 16 1
10 15 2
15 17 1
9 13 1
7 10 1
0 3 1
19 22 1
13 16 2
17 19 1
21 1 1
4 6 2
13 15 2
17 22 2
19 20 1
16 19 1
7 10 1
14 17 1
21 0 1
23 2 1
23 3 2
21 1 1
23 3 1
7 10 1
12 15 2
14 17 1
10 12 1
0 5 1
22 1 1
15 18 1
23 3 1
11 14 1
21 1 2
4 6 2
1 4 1
11 14 1
6 8 1
0 3 2
3 8 2
21 22 2
15 18 1
21 23 2
10 12 1
19 0 1
22 2 2
5 9 1
10 14 1
22 1 1
21 23 2
7 11 2
9 11 2
0 2 1
18 20 1
18 20 1
21 0 2
18 21 1
17 20 2
15 20 2
18 20 2
4 8 1
8 11 1
18 21 1
2 4 1
15 19 1
22 0 2
14 18 1
15 18 1
20 22 1
23 3 2
1 5 1
12 16 1
11 13 1
20 21 2
19 22 2
15 18 1
21 2 1
2 6 1
11 14 1
15 18 2
0 3 1
20 0 1
23 1 2
12 16 2
13 15 2
16 18 2
19 22 2
21 1 1
12 15 1
7 8 2
5 7 2
16 19 2
21 0 2
1 5 2
14 18 1
13 16 1
0 4 1
19 23 2
16 19 1
15 18 2
10 10 1
3 6 1
22 0 2
0 3 1
9 12 1
6 10 2
21 0 1
12 16 2
7 10 2
22 0 2
8 11 1
6 8 2
21 0 2
1 5 1
8 12 2
9 14 1
16 19 1
16 21 1
22 3 1
20 23 2
8 11 2
3 6 2
0 2 2
14 16 1
3 6 1
9 11 2
4 6 1
5 8 1
9 12 2
9 12 2
8 12 1
19 22 1
3 7 2
6 10 1
18 21 2
6 11 1
8 12 1
1 3 2
6 9 2
17 18 1
20 1 2
19 22 1
13 15 2
11 14 1
23 1 2
4 7 1
8 13 2
3 7 1
18 21 1
23 3 2
2 5 2
15 18 1
19 23 1
10 13 1
10 12 2
21 1 1
5 8 2
8 10 2
19 22 2
16 18 2
5 10 1
15 19 2
9 12 1
16 18 2
14 17 2
13 15 2
0 3 1
20 23 1
20 23 2
1 4 2
2 5 1
16 19 1
8 10 1
2 6 2
14 19 2
2 4 1
23 3 1
23 2 2
9 12 2
20 22 1
2 4 2
8 11 1
0 4 1
4 8 1
7 10 1
12 15 2
6 8 1
18 19 1
0 2 1
3 7 1
5 9 2
3 6 2
3 8 1
17 21 1
15 19 1
10 12 2
16 19 1
0 5 2
3 6 2
0 3 2
9 13 1
21 1 2
3 5 2
10 14 1
9 12 1
9 11 2
22 0 2
3 7 2
4 7 1
15 19 2
15 19 2
4 7 1
17 21 1
3 5 1
6 10 2
15 18 1
15 19 1
2 5 1
17 19 1
16 19 1
10 14 1
22 0 1
18 19 2
2 3 1
20 0 1
13 16 2
5 8 1
21 22 2
20 1 2
18 21 2
1 4 1
23 2 2
17 17 2
10 11 1
11 14 2
22 3 2
11 12 1
13 16 2
7 10 2
8 12 2
15 18 2
19 21 1
4 8 2
0 4 2
0 3 1
23 3 1
15 17 2
22 1 2
20 22 1
11 13 2
19 21 2
5 8 2
12 16 2
4 8 2
15 16 2
7 10 1
5 8 1
9 11 2
11 14 2
21 1 2
3 4 2
0 3 1
6 8 1
19 0 1
17 19 2
15 17 2
19 0 2
8 11 2
22 1 1
1 2 2
10 14 1
19 22 2
0 3 2
20 23 2
10 13 2
7 10 2
17 22 1
6 9 1
12 15 2
21 1 1
10 13 2
15 17 2
6 10 2
18 22 1
1 5 2
13 17 2
17 20 1
0 3 1
2 4 1
1 5 1
16 19 1
19 22 2
16 20 1
4 8 2
22 0 2
