1250 3
8 2 9 
12 15 1
16 20 3
4 7 1
16 19 1
0 3 2
7 12 2
22 1 2
2 7 1
22 0 1
22 1 1
21 22 3
22 2 1
22 23 2
15 19 2
7 10 1
13 17 3
9 12 3
3 4 1
0 2 1
2 6 3
1 5 2
18 20 3
15 16 2
3 5 1
19 22 1
4 6 1
15 16 1
13 15 2
4 9 3
6 7 3
10 13 3
13 16 3
20 23 3
18 21 1
22 23 3
6 10 1
15 15 1
13 18 3
3 6 1
6 9 2
18 22 3
9 12 3
1 5 2
7 9 1
2 5 3
9 13 2
3 6 1
3 5 3
0 3 1
17 22 1
2 5 1
7 10 1
15 17 3
18 22 3
18 21 2
10 13 2
21 23 2
21 1 3
1 4 2
11 12 2
18 21 1
9 13 3
12 17 3
14 15 3
4 8 3
20 0 3
7 10 1
18 20 1
11 13 1
12 15 2
18 22 2
3 6 3
14 18 3
20 22 3
10 14 1
3 6 2
5 7 2
3 5 3
13 16 2
23 1 3
9 13 2
23 3 1
7 11 1
13 15 3
15 18 3
16 18 2
0 4 1
15 19 1
23 3 2
9 13 3
11 14 2
17 19 2
10 16 2
5 8 3
11 13 2
4 7 1
15 19 1
11 14 3
4 5 2
1 4 2
1 5 3
15 18 2
18 22 1
15 18 1
2 4 1
9 12 3
3 6 1
23 0 2
18 19 2
22 2 2
2 4 2
12 16 1
15 18 3
4 7 1
22 1 2
22 0 2
13 16 3
13 16 3
22 1 1
3 6 3
18 21 2
16 20 1
15 19 2
13 16 2
14 17 3
19 22 2
14 17 1
23 2 1
3 7 1
0 2 1
3 7 3
0 4 1
5 10 1
22 2 1
12 13 1
0 4 3
7 10 3
16 19 1
15 20 3
3 7 2
11 14 3
18 21 1
15 20 3
4 7 3
14 18 2
10 11 3
0 3 2
13 16 3
5 9 3
14 17 1
6 10 1
7 10 1
16 18 1
17 19 3
15 19 2
22 0 2
2 6 2
18 22 1
0 3 3
6 9 1
15 18 2
8 11 1
2 6 3
22 1 3
4 6 2
4 7 3
1 4 2
12 15 3
8 11 2
18 20 3
0 4 1
4 7 3
22 23 2
9 11 3
10 11 3
16 18 2
10 13 1
20 0 3
8 9 1
9 10 1
3 5 3
7 11 1
23 3 1
7 9 2
4 6 2
21 1 3
7 11 1
23 1 3
5 9 3
2 3 3
16 18 2
14 15 1
0 2 3
10 14 3
21 0 3
1 3 1
3 6 1
3 5 2
18 20 2
3 8 3
13 15 3
7 10 1
5 9 1
7 11 1
15 19 1
16 19 2
7 9 2
1 4 2
2 7 1
7 9 3
1 4 1
8 12 1
8 10 3
10 13 1
9 13 3
13 17 2
13 17 2
17 22 1
9 13 1
11 14 3
15 19 1
19 0 1
5 10 1
11 13 2
21 1 1
0 3 2
0 1 3
1 5 3
7 9 1
13 16 2
23 2 1
1 3 1
4 7 3
20 0 1
11 14 2
13 16 2
17 22 2
6 10 2
23 2 1
17 20 3
18 19 1
3 5 2
12 14 2
11 14 3
12 14 2
11 13 1
20 0 1
3 6 2
9 11 3
23 2 3
1 5 2
17 20 2
11 12 2
0 3 2
21 23 2
6 9 2
21 23 1
0 2 1
7 11 3
20 23 3
11 13 2
9 13 1
1 5 1
2 6 2
9 12 1
21 1 1
0 1 2
19 22 2
20 0 3
17 21 2
1 5 1
5 8 1
5 9 1
22 1 3
23 3 3
1 2 2
2 7 3
14 18 1
0 3 3
0 2 3
23 3 2
4 8 2
16 20 2
19 20 1
22 2 2
0 3 3
9 13 2
8 11 1
23 1 1
10 13 3
9 12 1
19 23 2
3 6 1
22 3 3
9 12 1
22 23 1
2 5 1
20 23 3
13 17 3
19 23 2
19 21 1
17 20 3
22 22 2
9 10 2
20 23 2
21 0 2
4 8 2
16 19 2
14 18 1
16 19 1
3 7 3
21 1 3
22 0 1
7 8 1
9 12 1
14 17 3
0 1 2
15 19 2
13 17 2
9 12 2
19 23 3
23 3 3
20 23 2
12 15 1
11 14 1
2 5 3
20 1 1
17 20 2
12 16 1
8 10 3
7 11 1
13 15 1
13 15 3
4 7 1
14 18 3
8 12 2
13 17 3
23 3 1
2 6 3
0 4 1
7 9 2
21 0 2
9 13 3
7 11 2
2 4 3
20 0 3
0 2 3
18 22 3
22 1 3
18 23 2
16 19 3
5 7 2
0 4 1
14 18 1
9 12 3
9 11 1
18 21 1
12 15 3
5 8 3
18 21 1
23 2 2
23 3 2
21 23 2
6 10 1
5 7 2
4 7 1
20 23 3
1 4 1
0 4 3
14 15 2
5 8 2
6 11 2
11 14 3
17 21 2
11 15 1
11 13 2
10 12 3
22 2 3
20 0 1
22 0 2
17 19 1
16 17 3
17 21 2
13 15 2
8 10 1
4 7 3
9 12 2
8 12 2
